split,variant,use_prototypes,use_fuzzy,use_simulation,use_tree,use_calibration,neighbors,max_proto,simulation_multiplier,feature_count,rows,positives,top10_capture,top10_hit_rate,auc,pr_auc,brier
2025_05_to_2025_06,Prototype-only scorer,True,True,False,False,True,5,4500,0.0,24,382303,26670,0.9363704536932883,0.6532133608851456,0.9848697688732084,0.8359980223782633,0.024204907098846182
2025_05_to_2025_06,No monotone calibration,True,True,True,True,False,5,4500,1.0,24,382303,26670,0.9712410948631421,0.6775391697836834,0.9936936181426848,0.9158850266550491,0.022863977420092652
2025_06_to_2025_07,Full SDS-KB,True,True,True,True,True,5,4500,1.0,24,388190,27986,0.96444650896877,0.695303846054767,0.9935434917493806,0.9217860211381059,0.018866437606917457
2025_06_to_2025_07,No simulated severe store,True,True,False,True,True,5,4500,0.0,24,388190,27986,0.9664832416208105,0.6967721991808136,0.9937648850882672,0.923940420615212,0.018475291720012953
2025_06_to_2025_07,No prototype affinity,False,True,True,True,True,0,0,1.0,19,388190,27986,0.9686271707282212,0.6983178340503362,0.9941122239355185,0.926465303402337,0.018520043722662406
2025_06_to_2025_07,No fuzzy concepts,True,False,True,True,True,5,4500,1.0,16,388190,27986,0.9647680983348818,0.6955356912851954,0.9936137505774288,0.9233644738246498,0.01862747713870153
2025_06_to_2025_07,Prototype-only scorer,True,True,False,False,True,5,4500,0.0,24,388190,27986,0.9228542842849996,0.6653185295860274,0.9833790353986842,0.8360239248803762,0.028756488761500706
2025_06_to_2025_07,No monotone calibration,True,True,True,True,False,5,4500,1.0,24,388190,27986,0.96444650896877,0.695303846054767,0.9935434917493806,0.9217860211381059,0.02375317969756799
2025_07_to_2025_08,Full SDS-KB,True,True,True,True,True,5,4500,1.0,24,375518,18515,0.9895760194436943,0.48791009799744356,0.9954205986913246,0.9234062396781871,0.013852057307065142
2025_07_to_2025_08,No simulated severe store,True,True,False,True,True,5,4500,0.0,24,375518,18515,0.9907102349446395,0.488469322539412,0.9956584798228915,0.9252256830492626,0.01355847957763919
2025_07_to_2025_08,No prototype affinity,False,True,True,True,True,0,0,1.0,19,375518,18515,0.9917904401836349,0.48900191734128673,0.9957649464679708,0.9261208800687114,0.01350914541258053
2025_07_to_2025_08,No fuzzy concepts,True,False,True,True,True,5,4500,1.0,16,375518,18515,0.9898460707534431,0.4880432466979122,0.9953863847638501,0.9220516155111382,0.0137060260302291
2025_07_to_2025_08,Prototype-only scorer,True,True,False,False,True,5,4500,0.0,24,375518,18515,0.9668376991628409,0.4766989774179804,0.9866534693019813,0.8164493504673138,0.0218668815966315
2025_07_to_2025_08,No monotone calibration,True,True,True,True,False,5,4500,1.0,24,375518,18515,0.9895760194436943,0.48791009799744356,0.9954205986913246,0.9234062396781871,0.01707472125071926
2025_08_to_2025_09,Full SDS-KB,True,True,True,True,True,5,4500,1.0,24,363977,11393,0.9964012990432722,0.31188526842134184,0.9970408687987632,0.9220073247078571,0.008211084544917058
2025_08_to_2025_09,No simulated severe store,True,True,False,True,True,5,4500,0.0,24,363977,11393,0.9969279382076713,0.31205011264355187,0.9972028270259522,0.9254589583480716,0.007905031378109734
