split,variant,use_prototypes,use_fuzzy,use_simulation,use_tree,use_calibration,neighbors,max_proto,simulation_multiplier,feature_count,rows,positives,top10_capture,top10_hit_rate,auc,pr_auc,brier
2025_04_to_2025_05,Prototype neighbors 1,True,True,True,True,True,1,4500,1.0,24,388315,19642,0.9887485999389064,0.5001287597857437,0.9952356262107441,0.9202013637991853,0.011823877630688484
2025_04_to_2025_05,Prototype neighbors 3,True,True,True,True,True,3,4500,1.0,24,388315,19642,0.9887995112514001,0.5001545117428925,0.995117252606998,0.9174788338119196,0.012496398706856593
2025_04_to_2025_05,Prototype neighbors 10,True,True,True,True,True,10,4500,1.0,24,388315,19642,0.9897668261887791,0.5006437989287186,0.9953330020897706,0.9195488219079991,0.012710160719887328
2025_04_to_2025_05,Prototype store 1500,True,True,True,True,True,5,1500,1.0,24,388315,19642,0.990072294063741,0.5007983106716111,0.9954231197790607,0.9212020856739628,0.012661755043535032
2025_04_to_2025_05,Prototype store 3000,True,True,True,True,True,5,3000,1.0,24,388315,19642,0.9888504225638937,0.5001802637000412,0.9951998100962597,0.9200555275138034,0.012695744974391684
2025_05_to_2025_06,Simulation multiplier 0.5,True,True,True,True,True,5,4500,0.5,24,382303,26670,0.9713910761154856,0.6776437969187309,0.993716907308624,0.9160084186797073,0.017073831127080673
2025_05_to_2025_06,Simulation multiplier 1,True,True,True,True,True,5,4500,1.0,24,382303,26670,0.9708286464191976,0.6772514451623028,0.9936075842947556,0.9147992541327631,0.017280498330578507
2025_05_to_2025_06,Simulation multiplier 1.5,True,True,True,True,True,5,4500,1.5,24,382303,26670,0.9712035995500562,0.6775130129999215,0.9935336166284194,0.9147932875149021,0.01728819741800203
2025_05_to_2025_06,Prototype neighbors 1,True,True,True,True,True,1,4500,1.0,24,382303,26670,0.9699287589051369,0.676623682352018,0.9936533924941819,0.9154039327103548,0.01677913107912493
2025_05_to_2025_06,Prototype neighbors 3,True,True,True,True,True,3,4500,1.0,24,382303,26670,0.9707911511061117,0.677225288378541,0.993493407269254,0.9138787044891808,0.017288181801001456
2025_05_to_2025_06,Prototype neighbors 10,True,True,True,True,True,10,4500,1.0,24,382303,26670,0.9718035245594301,0.6779315215401114,0.9936898493488394,0.9137488937982938,0.01737686721191788
2025_05_to_2025_06,Prototype store 1500,True,True,True,True,True,5,1500,1.0,24,382303,26670,0.9718785151856018,0.6779838351076352,0.9937856414059543,0.9157511127228805,0.017569070639721542
2025_05_to_2025_06,Prototype store 3000,True,True,True,True,True,5,3000,1.0,24,382303,26670,0.9709786276715411,0.6773560722973503,0.9936348988247808,0.9133082125000747,0.017538717942723055
2025_06_to_2025_07,Simulation multiplier 0.5,True,True,True,True,True,5,4500,0.5,24,388190,27986,0.9639105266919173,0.6949174373373863,0.9935865326421826,0.922755971613846,0.018873374366809886
2025_06_to_2025_07,Simulation multiplier 1,True,True,True,True,True,5,4500,1.0,24,388190,27986,0.9636961337811764,0.6947628738504341,0.9934511328011103,0.9212909032666003,0.019053822748671217
2025_06_to_2025_07,Simulation multiplier 1.5,True,True,True,True,True,5,4500,1.5,24,388190,27986,0.9629814907453726,0.6942476622272599,0.9933593392418951,0.9208860841949335,0.019188650760877564
2025_06_to_2025_07,Prototype neighbors 1,True,True,True,True,True,1,4500,1.0,24,388190,27986,0.964625169727721,0.6954326489605606,0.9936206341482523,0.9233178098764516,0.018148622855473074
2025_06_to_2025_07,Prototype neighbors 3,True,True,True,True,True,3,4500,1.0,24,388190,27986,0.9646609018795111,0.6954584095417192,0.9934382471981664,0.921352587162117,0.01890602539292741
2025_06_to_2025_07,Prototype neighbors 10,True,True,True,True,True,10,4500,1.0,24,388190,27986,0.9654470092188951,0.6960251423272109,0.993656914676338,0.923125346483769,0.018813660290125135
2025_06_to_2025_07,Prototype store 1500,True,True,True,True,True,5,1500,1.0,24,388190,27986,0.9666619023797614,0.6969010020866071,0.993655588921092,0.9239923254151501,0.01892034322518699
2025_06_to_2025_07,Prototype store 3000,True,True,True,True,True,5,3000,1.0,24,388190,27986,0.9655542056742658,0.696102424070687,0.9936057448588752,0.9233047999839131,0.0187075678466138
2025_07_to_2025_08,Simulation multiplier 0.5,True,True,True,True,True,5,4500,0.5,24,375518,18515,0.9900621118012423,0.48814976565828716,0.9954554368329958,0.9224768616268079,0.013811148132726716
2025_07_to_2025_08,Simulation multiplier 1,True,True,True,True,True,5,4500,1.0,24,375518,18515,0.9893599783958952,0.4878035790370686,0.9953276850284515,0.9222746124466155,0.013991156061885968
2025_07_to_2025_08,Simulation multiplier 1.5,True,True,True,True,True,5,4500,1.5,24,375518,18515,0.9891439373480961,0.48769706007669367,0.9951757262397262,0.9201181654828712,0.014111762494244626
2025_07_to_2025_08,Prototype neighbors 1,True,True,True,True,True,1,4500,1.0,24,375518,18515,0.9902781528490413,0.4882562846186621,0.9953152915929515,0.9207733009443354,0.013455512395734183
2025_07_to_2025_08,Prototype neighbors 3,True,True,True,True,True,3,4500,1.0,24,375518,18515,0.9894679989197948,0.4878568385172561,0.9951564156909479,0.9197375342303387,0.014030496608574956
2025_07_to_2025_08,Prototype neighbors 10,True,True,True,True,True,10,4500,1.0,24,375518,18515,0.9891979476100459,0.4877236898167874,0.9953832661891191,0.9227889702149465,0.014066665356275652
2025_07_to_2025_08,Prototype store 1500,True,True,True,True,True,5,1500,1.0,24,375518,18515,0.989900081015393,0.488069876438006,0.9954194114589185,0.9213327070230284,0.014126387195337257
2025_07_to_2025_08,Prototype store 3000,True,True,True,True,True,5,3000,1.0,24,375518,18515,0.9890899270861464,0.4876704303365999,0.9953137212993857,0.921746572841776,0.01407695702686643
2025_08_to_2025_09,Simulation multiplier 0.5,True,True,True,True,True,5,4500,0.5,24,363977,11393,0.997015711401738,0.3120775866805868,0.9970727340798694,0.9224672129399444,0.00814926482237085
2025_08_to_2025_09,Simulation multiplier 1,True,True,True,True,True,5,4500,1.0,24,363977,11393,0.9964012990432722,0.31188526842134184,0.9969857842636061,0.9209554929658695,0.008289952305801618
2025_08_to_2025_09,Simulation multiplier 1.5,True,True,True,True,True,5,4500,1.5,24,363977,11393,0.9964890722373387,0.31191274245837686,0.996911273986916,0.920017467589641,0.008377766778110574
2025_08_to_2025_09,Prototype neighbors 1,True,True,True,True,True,1,4500,1.0,24,363977,11393,0.996050206267006,0.31177537227320185,0.9968752121551469,0.9214079690178688,0.0077714090342020795
2025_08_to_2025_09,Prototype neighbors 3,True,True,True,True,True,3,4500,1.0,24,363977,11393,0.9959624330729395,0.31174789823616683,0.9969246033719791,0.91995304491299,0.008154536030276107
2025_08_to_2025_09,Prototype neighbors 10,True,True,True,True,True,10,4500,1.0,24,363977,11393,0.9971912577898709,0.31213253475465685,0.9970865545043026,0.9231913755498484,0.008317010882602604
2025_08_to_2025_09,Prototype store 1500,True,True,True,True,True,5,1500,1.0,24,363977,11393,0.9969279382076713,0.31205011264355187,0.9971260624491269,0.9223236130926509,0.008406942406030895
2025_08_to_2025_09,Prototype store 3000,True,True,True,True,True,5,3000,1.0,24,363977,11393,0.9962257526551391,0.3118303203472718,0.9969950701977337,0.9212986702888273,0.00841604836473606
2025_09_to_2025_10,Simulation multiplier 0.5,True,True,True,True,True,5,4500,0.5,24,396028,16316,0.9936258886982103,0.409362927050981,0.9959127282030438,0.9157570057036143,0.010346087839017854
2025_09_to_2025_10,Simulation multiplier 1,True,True,True,True,True,5,4500,1.0,24,396028,16316,0.9933807305712185,0.4092619246016716,0.9959209162386248,0.915481173633414,0.010322638866828986
2025_09_to_2025_10,Simulation multiplier 1.5,True,True,True,True,True,5,4500,1.5,24,396028,16316,0.9930742829124786,0.40913567154003483,0.995837512489821,0.9141686354534646,0.010476827433945426
2025_09_to_2025_10,Prototype neighbors 1,True,True,True,True,True,1,4500,1.0,24,396028,16316,0.9927678352537387,0.4090094184783981,0.9958731345928499,0.9158256542849011,0.009600078792776936
2025_09_to_2025_10,Prototype neighbors 3,True,True,True,True,True,3,4500,1.0,24,396028,16316,0.9928291247854867,0.40903466909072544,0.99570401496948,0.9128104870716094,0.010160693919386204
