split,model,bin,bin_low,bin_high,rows,mean_pred,observed_rate
2025_04_to_2025_05,SDS-KB,7,0.4666666666666667,0.5333333333333333,2307,0.4845588551169678,0.22193324664065886
2025_04_to_2025_05,SDS-KB,8,0.5333333333333333,0.6,1322,0.5663162852087049,0.30786686838124055
2025_04_to_2025_05,SDS-KB,9,0.6,0.6666666666666666,280,0.639172390055552,0.35
2025_04_to_2025_05,SDS-KB,10,0.6666666666666666,0.7333333333333333,3049,0.722166851428589,0.4568711052804198
2025_04_to_2025_05,SDS-KB,11,0.7333333333333333,0.8,5,0.7673766604602882,0.6
2025_04_to_2025_05,SDS-KB,12,0.8,0.8666666666666667,2393,0.8286989207146874,0.63769327204346
2025_04_to_2025_05,SDS-KB,13,0.8666666666666667,0.9333333333333333,3382,0.9217588197602481,0.7885866351271437
2025_04_to_2025_05,SDS-KB,14,0.9333333333333333,1.0,12811,0.9766159448161822,0.9450472250409804
2025_05_to_2025_06,SDS-KB,0,0.0,0.06666666666666667,332856,0.0025429059084116547,0.0009283293676544812
2025_05_to_2025_06,SDS-KB,1,0.06666666666666667,0.13333333333333333,6009,0.10071704823293531,0.02945581627558662
2025_05_to_2025_06,SDS-KB,2,0.13333333333333333,0.2,6344,0.15105617142852126,0.05974148802017654
2025_05_to_2025_06,SDS-KB,3,0.2,0.26666666666666666,708,0.20973400492521263,0.096045197740113
2025_05_to_2025_06,SDS-KB,4,0.26666666666666666,0.3333333333333333,16,0.3003012252896303,0.25
2025_05_to_2025_06,SDS-KB,5,0.3333333333333333,0.4,1316,0.36024276505154673,0.14285714285714285
2025_05_to_2025_06,SDS-KB,6,0.4,0.4666666666666667,4142,0.44750306785448657,0.23901496861419605
2025_05_to_2025_06,SDS-KB,7,0.4666666666666667,0.5333333333333333,13,0.4974542359797983,0.46153846153846156
2025_05_to_2025_06,SDS-KB,8,0.5333333333333333,0.6,943,0.5540432773318268,0.3170731707317073
2025_05_to_2025_06,SDS-KB,9,0.6,0.6666666666666666,2828,0.6466654260806668,0.3925035360678925
2025_05_to_2025_06,SDS-KB,10,0.6666666666666666,0.7333333333333333,929,0.6913775488681033,0.5102260495156081
2025_05_to_2025_06,SDS-KB,11,0.7333333333333333,0.8,7,0.7659822922345256,0.5714285714285714
2025_05_to_2025_06,SDS-KB,12,0.8,0.8666666666666667,1851,0.8084070205046632,0.5683414370610481
2025_05_to_2025_06,SDS-KB,13,0.8666666666666667,0.9333333333333333,6379,0.9128623217544347,0.7538799184825208
2025_05_to_2025_06,SDS-KB,14,0.9333333333333333,1.0,17962,0.978878544649241,0.9353635452622202
2025_06_to_2025_07,SDS-KB,0,0.0,0.06666666666666667,336890,0.0034527196914358326,0.0011368696013535576
2025_06_to_2025_07,SDS-KB,1,0.06666666666666667,0.13333333333333333,2462,0.07944843649292829,0.019902518277822908
2025_06_to_2025_07,SDS-KB,2,0.13333333333333333,0.2,6795,0.15828110915816265,0.04091243561442237
2025_06_to_2025_07,SDS-KB,3,0.2,0.26666666666666666,1980,0.25662454468678053,0.08434343434343435
2025_06_to_2025_07,SDS-KB,4,0.26666666666666666,0.3333333333333333,2749,0.31033595996228563,0.1047653692251728
2025_06_to_2025_07,SDS-KB,5,0.3333333333333333,0.4,1070,0.3649863799749351,0.14485981308411214
2025_06_to_2025_07,SDS-KB,6,0.4,0.4666666666666667,1497,0.40646717285216816,0.18303273213092852
2025_06_to_2025_07,SDS-KB,7,0.4666666666666667,0.5333333333333333,756,0.5061542717984687,0.22486772486772486
2025_06_to_2025_07,SDS-KB,8,0.5333333333333333,0.6,1069,0.5583469565339646,0.2890551917680075
2025_06_to_2025_07,SDS-KB,9,0.6,0.6666666666666666,174,0.6373540675766011,0.27586206896551724
2025_06_to_2025_07,SDS-KB,10,0.6666666666666666,0.7333333333333333,3403,0.6875702736519387,0.3535116074052307
2025_06_to_2025_07,SDS-KB,11,0.7333333333333333,0.8,2213,0.7876422204755452,0.46543154089471306
2025_06_to_2025_07,SDS-KB,12,0.8,0.8666666666666667,3639,0.8373412581238983,0.6048364935421819
2025_06_to_2025_07,SDS-KB,13,0.8666666666666667,0.9333333333333333,3118,0.9095584445791945,0.7552918537524054
2025_06_to_2025_07,SDS-KB,14,0.9333333333333333,1.0,20375,0.9841060081505905,0.9362453987730062
2025_07_to_2025_08,SDS-KB,0,0.0,0.06666666666666667,338475,0.0031343005998577685,0.0005790678779821258
2025_07_to_2025_08,SDS-KB,1,0.06666666666666667,0.13333333333333333,7159,0.09710207682761082,0.02933370582483587
2025_07_to_2025_08,SDS-KB,2,0.13333333333333333,0.2,2353,0.16584770508019303,0.061623459413514665
2025_07_to_2025_08,SDS-KB,3,0.2,0.26666666666666666,823,0.21753108877790306,0.0850546780072904
2025_07_to_2025_08,SDS-KB,4,0.26666666666666666,0.3333333333333333,2,0.3061760147157195,0.0
2025_07_to_2025_08,SDS-KB,5,0.3333333333333333,0.4,400,0.362387502097191,0.1025
2025_07_to_2025_08,SDS-KB,6,0.4,0.4666666666666667,2570,0.41434191975421075,0.1556420233463035
2025_07_to_2025_08,SDS-KB,7,0.4666666666666667,0.5333333333333333,805,0.5300805218003166,0.2360248447204969
2025_07_to_2025_08,SDS-KB,8,0.5333333333333333,0.6,1437,0.5812381497153075,0.24565066109951286
2025_07_to_2025_08,SDS-KB,9,0.6,0.6666666666666666,5,0.6346021039404064,0.4
2025_07_to_2025_08,SDS-KB,10,0.6666666666666666,0.7333333333333333,927,0.6811854978736597,0.3344120819848975
2025_07_to_2025_08,SDS-KB,11,0.7333333333333333,0.8,3292,0.7689034030070092,0.43681652490886996
2025_07_to_2025_08,SDS-KB,12,0.8,0.8666666666666667,1486,0.8186957004501407,0.5975773889636609
2025_07_to_2025_08,SDS-KB,13,0.8666666666666667,0.9333333333333333,2720,0.9137888422787606,0.7330882352941176
2025_07_to_2025_08,SDS-KB,14,0.9333333333333333,1.0,13064,0.9819647853877487,0.9398346601347214
2025_08_to_2025_09,SDS-KB,0,0.0,0.06666666666666667,341791,0.0016793169562433136,0.0004096070405598743
2025_08_to_2025_09,SDS-KB,1,0.06666666666666667,0.13333333333333333,3856,0.0927291905289188,0.02437759336099585
